GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1699520321594,SushiGo,3,GAME_OVER,61,0,2,2,2,RMCTS,2,1,1,rhea_osla_hybrid,RMCTS,48.0,64.0,rhea_osla_hybrid,rhea_osla_hybrid,RMCTS,0
1699520321595,SushiGo,3,GAME_OVER,61,0,2,3,1,RMCTS,1,2,2,rhea_osla_hybrid,RMCTS,62.0,49.0,rhea_osla_hybrid,rhea_osla_hybrid,RMCTS,1
1699520321596,SushiGo,3,GAME_OVER,60,0,2,4,2,RMCTS,2,1,1,rhea_osla_hybrid,RMCTS,50.0,63.0,rhea_osla_hybrid,rhea_osla_hybrid,RMCTS,0
1699520321597,SushiGo,3,GAME_OVER,60,0,2,5,1,rhea_osla_hybrid,1,2,2,RMCTS,rhea_osla_hybrid,70.0,49.0,RMCTS,RMCTS,rhea_osla_hybrid,1
1699520321598,SushiGo,3,GAME_OVER,62,0,2,6,2,RMCTS,2,1,1,rhea_osla_hybrid,RMCTS,49.0,53.0,rhea_osla_hybrid,rhea_osla_hybrid,RMCTS,0
1699520321599,SushiGo,3,GAME_OVER,61,0,2,7,2,RMCTS,2,1,1,rhea_osla_hybrid,RMCTS,47.0,57.0,rhea_osla_hybrid,rhea_osla_hybrid,RMCTS,0
1699520321600,SushiGo,3,GAME_OVER,61,0,2,8,2,rhea_osla_hybrid,2,1,1,RMCTS,rhea_osla_hybrid,48.0,54.0,RMCTS,RMCTS,rhea_osla_hybrid,0
1699520321601,SushiGo,3,GAME_OVER,61,0,2,9,1,rhea_osla_hybrid,1,2,2,RMCTS,rhea_osla_hybrid,67.0,64.0,RMCTS,RMCTS,rhea_osla_hybrid,1
1699520321602,SushiGo,3,GAME_OVER,60,0,2,10,2,RMCTS,2,1,1,rhea_osla_hybrid,RMCTS,57.0,61.0,rhea_osla_hybrid,rhea_osla_hybrid,RMCTS,0
1699520321603,SushiGo,3,GAME_OVER,60,0,2,11,1,RMCTS,1,2,2,rhea_osla_hybrid,RMCTS,61.0,52.0,rhea_osla_hybrid,rhea_osla_hybrid,RMCTS,1
